zip,scraped,stcd,county
01001,"HAMPDEN, MA",MA,HAMPDEN
01008,"HAMPDEN, MA",MA,HAMPDEN
01010,"HAMPDEN, MA",MA,HAMPDEN
01011,"HAMPDEN, MA",MA,HAMPDEN
01011,"HAMPSHIRE, MA",MA,HAMPSHIRE
01012,"HAMPSHIRE, MA",MA,HAMPSHIRE
01013,"HAMPDEN, MA",MA,HAMPDEN
01020,"HAMPDEN, MA",MA,HAMPDEN
01022,"HAMPDEN, MA",MA,HAMPDEN
01026,"HAMPSHIRE, MA",MA,HAMPSHIRE
01027,"HAMPSHIRE, MA",MA,HAMPSHIRE
01028,"HAMPDEN, MA",MA,HAMPDEN
01030,"HAMPDEN, MA",MA,HAMPDEN
01032,"HAMPSHIRE, MA",MA,HAMPSHIRE
01034,"HAMPDEN, MA",MA,HAMPDEN
01036,"HAMPDEN, MA",MA,HAMPDEN
01039,"HAMPSHIRE, MA",MA,HAMPSHIRE
01040,"HAMPDEN, MA",MA,HAMPDEN
01050,"HAMPSHIRE, MA",MA,HAMPSHIRE
01053,"HAMPSHIRE, MA",MA,HAMPSHIRE
01056,"HAMPDEN, MA",MA,HAMPDEN
01057,"HAMPDEN, MA",MA,HAMPDEN
01068,"WORCESTER, MA",MA,WORCESTER
01069,"HAMPDEN, MA",MA,HAMPDEN
01070,"HAMPSHIRE, MA",MA,HAMPSHIRE
01071,"HAMPDEN, MA",MA,HAMPDEN
01073,"HAMPSHIRE, MA",MA,HAMPSHIRE
01077,"HAMPDEN, MA",MA,HAMPDEN
01081,"HAMPDEN, MA",MA,HAMPDEN
01083,"WORCESTER, MA",MA,WORCESTER
01084,"HAMPSHIRE, MA",MA,HAMPSHIRE
01085,"HAMPDEN, MA",MA,HAMPDEN
01088,"HAMPSHIRE, MA",MA,HAMPSHIRE
01089,"HAMPDEN, MA",MA,HAMPDEN
01092,"WORCESTER, MA",MA,WORCESTER
01095,"HAMPDEN, MA",MA,HAMPDEN
01096,"HAMPSHIRE, MA",MA,HAMPSHIRE
01098,"HAMPSHIRE, MA",MA,HAMPSHIRE
01103,"HAMPDEN, MA",MA,HAMPDEN
01104,"HAMPDEN, MA",MA,HAMPDEN
01105,"HAMPDEN, MA",MA,HAMPDEN
01106,"HAMPDEN, MA",MA,HAMPDEN
01107,"HAMPDEN, MA",MA,HAMPDEN
01108,"HAMPDEN, MA",MA,HAMPDEN
01109,"HAMPDEN, MA",MA,HAMPDEN
01118,"HAMPDEN, MA",MA,HAMPDEN
01119,"HAMPDEN, MA",MA,HAMPDEN
01128,"HAMPDEN, MA",MA,HAMPDEN
01129,"HAMPDEN, MA",MA,HAMPDEN
01151,"HAMPDEN, MA",MA,HAMPDEN
01199,"HAMPDEN, MA",MA,HAMPDEN
01201,"BERKSHIRE, MA",MA,BERKSHIRE
01220,"BERKSHIRE, MA",MA,BERKSHIRE
01222,"BERKSHIRE, MA",MA,BERKSHIRE
01223,"BERKSHIRE, MA",MA,BERKSHIRE
01223,"HAMPDEN, MA",MA,HAMPDEN
01224,"BERKSHIRE, MA",MA,BERKSHIRE
01225,"BERKSHIRE, MA",MA,BERKSHIRE
01226,"BERKSHIRE, MA",MA,BERKSHIRE
01230,"BERKSHIRE, MA",MA,BERKSHIRE
01235,"BERKSHIRE, MA",MA,BERKSHIRE
01236,"BERKSHIRE, MA",MA,BERKSHIRE
01237,"BERKSHIRE, MA",MA,BERKSHIRE
01238,"BERKSHIRE, MA",MA,BERKSHIRE
01240,"BERKSHIRE, MA",MA,BERKSHIRE
01243,"HAMPSHIRE, MA",MA,HAMPSHIRE
01245,"BERKSHIRE, MA",MA,BERKSHIRE
01247,"BERKSHIRE, MA",MA,BERKSHIRE
01253,"BERKSHIRE, MA",MA,BERKSHIRE
01254,"BERKSHIRE, MA",MA,BERKSHIRE
01255,"BERKSHIRE, MA",MA,BERKSHIRE
01256,"BERKSHIRE, MA",MA,BERKSHIRE
01257,"BERKSHIRE, MA",MA,BERKSHIRE
01258,"BERKSHIRE, MA",MA,BERKSHIRE
01259,"BERKSHIRE, MA",MA,BERKSHIRE
01262,"BERKSHIRE, MA",MA,BERKSHIRE
01266,"BERKSHIRE, MA",MA,BERKSHIRE
01267,"BERKSHIRE, MA",MA,BERKSHIRE
01270,"BERKSHIRE, MA",MA,BERKSHIRE
01301,"FRANKLIN, MA",MA,FRANKLIN
01330,"FRANKLIN, MA",MA,FRANKLIN
01338,"FRANKLIN, MA",MA,FRANKLIN
01339,"FRANKLIN, MA",MA,FRANKLIN
01340,"FRANKLIN, MA",MA,FRANKLIN
01341,"FRANKLIN, MA",MA,FRANKLIN
01343,"BERKSHIRE, MA",MA,BERKSHIRE
01346,"FRANKLIN, MA",MA,FRANKLIN
01350,"FRANKLIN, MA",MA,FRANKLIN
01367,"FRANKLIN, MA",MA,FRANKLIN
01370,"FRANKLIN, MA",MA,FRANKLIN
01373,"FRANKLIN, MA",MA,FRANKLIN
01420,"WORCESTER, MA",MA,WORCESTER
01430,"WORCESTER, MA",MA,WORCESTER
01431,"MIDDLESEX, MA",MA,MIDDLESEX
01432,"MIDDLESEX, MA",MA,MIDDLESEX
01434,"MIDDLESEX, MA",MA,MIDDLESEX
01434,"WORCESTER, MA",MA,WORCESTER
01440,"WORCESTER, MA",MA,WORCESTER
01450,"MIDDLESEX, MA",MA,MIDDLESEX
01451,"WORCESTER, MA",MA,WORCESTER
01452,"WORCESTER, MA",MA,WORCESTER
01453,"WORCESTER, MA",MA,WORCESTER
01460,"MIDDLESEX, MA",MA,MIDDLESEX
01462,"WORCESTER, MA",MA,WORCESTER
01463,"MIDDLESEX, MA",MA,MIDDLESEX
01464,"MIDDLESEX, MA",MA,MIDDLESEX
